"td-time","hidden-xs","visible-xs","center-in-same-flight","mobile-only","in-same-flight","mobile-only 2","mobile-only 3","mobile-only 4","mobile-only 5","mobile-only 6","td-destination","td-airline","td-flight"
"20:55","T1","TT1","TP 1096","+5","5","AC 2673","AD 7290","LO 4712","S4 8728","EK 4896","Valencia","TAP AIR PORTUGAL",""
"21:00","T1","TT1","TP 1022","+4","4","AD 7353","LY 9078","S4 8712","EK 4858","","Madrid","TAP AIR PORTUGAL",""
"21:00","T1","TT1","TP 1138","+4","4","AD 7282","LO 4730","S4 8756","EK 4874","","Malaga","TAP AIR PORTUGAL",""
"21:00","T1","TT1","TP 1936","+5","5","AD 7455","BT 5366","LH 6964","S4 8428","EK 4795","Porto","TAP AIR PORTUGAL",""
"21:05","T1","TT1","TP 1695","+8","8","AD 7466","BT 5339","LH 6958","LG 1997","S4 8005","Madeira","TAP AIR PORTUGAL",""
"21:40","T1","TT1","","","","","","","","","Seoul, Incheon","KOREAN AIR","KE 922"
"21:45","T1","TT1","TP 1106","+3","3","AD 7263","S4 8696","EK 4890","","","Sevilla","TAP AIR PORTUGAL",""
"22:10","T1","TT1","TP 1865","+6","6","AD 7186","LH 6980","LG 1965","S4 8279","TK 8114","Ponta Delgada","TAP AIR PORTUGAL",""
"22:35","T1","TT1","","","","","","","","","Luanda, Antonio Neto","TAAG","DT 653"
"23:00","T1","TT1","TP 1907","+6","6","AD 7479","BT 5344","LH 6974","S4 8399","TK 8129","Faro","TAP AIR PORTUGAL",""
"23:05","T1","TT1","","","","","","","","","Luanda, Antonio Neto","TAP AIR PORTUGAL","TP 297"
"23:10","T1","TT1","TP 1697","+7","7","AD 7280","LH 6972","FI 6414","LG 1972","S4 8023","Madeira","TAP AIR PORTUGAL",""
"23:25","T1","TT1","TP 075","+3","3","AD 7115","LY 9090","EK 4812","","","Rio de Janeiro","TAP AIR PORTUGAL",""
"23:30","T1","TT1","","","","","","","","","Athens","SKY EXPRESS","GQ 923"
"23:30","T1","TT1","TP 087","+3","3","AD 7123","LY 9084","EK 4814","","","São Paulo, Guarulhos","TAP AIR PORTUGAL",""
